City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,kingston,17.997,-76.7936,86.95,70,20,6.91,JM,1715527784
208,la sarre,48.8002,-79.1996,59.97,48,54,9.84,CA,1715528192
209,san antonio de pale,-1.4014,5.6325,81.03,82,49,4.81,GQ,1715528232
210,lebu,-37.6167,-73.65,50.63,77,0,5.59,CL,1715527948
211,prince rupert,54.3161,-130.3201,50.09,83,100,13.8,CA,1715528157
212,luderitz,-26.6481,15.1594,61.86,71,0,15.75,NA,1715528148
213,grand-lahou,5.1367,-5.0242,85.12,73,96,10.07,CI,1715528169
214,axim,4.8699,-2.2405,82.36,83,100,6.51,GH,1715528232
215,petropavlovsk-kamchatsky,53.0452,158.6483,38.44,66,75,5.99,RU,1715528147
216,bonthe,7.5264,-12.505,87.39,68,99,10.92,SL,1715528151
217,jiazi,22.8779,116.067,77.9,89,100,6.55,CN,1715528233
218,suva,-18.1416,178.4415,67.48,94,20,4.61,FJ,1715528233
219,laguna,38.421,-121.4238,73.54,70,0,6.91,US,1715528233
220,sitka,57.0531,-135.33,46.29,76,75,8.05,US,1715527999
221,watsa,3.0372,29.5355,84.67,37,97,6.82,CD,1715528233
222,kapa'a,22.0752,-159.319,68.09,89,100,9.22,US,1715528233
223,yaya,56.206,86.44,51.91,47,100,1.97,RU,1715528233
224,bukittinggi,-0.3091,100.3706,68.27,98,100,1.21,ID,1715528233
225,maputo,-25.9653,32.5892,78.48,69,75,9.22,MZ,1715528175
226,lesnoy,57.6198,63.0784,42.26,64,100,10.27,RU,1715528233
227,sona,45.4388,10.8255,80.15,34,75,4.61,IT,1715528233
228,quellon,-43.1167,-73.6167,44.15,72,93,4.34,CL,1715528151
229,benjamin constant,-4.3831,-70.0311,91.53,79,0,2.3,BR,1715528233
230,tazovsky,67.4667,78.7,31.62,90,100,7.23,RU,1715528150
231,warud,21.4667,78.2667,93.2,30,99,7.43,IN,1715528234
232,tocopilla,-22.092,-70.1979,68.23,71,42,10.16,CL,1715528145
233,balikpapan,-1.2675,116.8289,79.79,94,20,1.14,ID,1715527962
234,puerto aysen,-45.4,-72.7,39.27,85,96,2.3,CL,1715527944
235,nago,26.5881,127.9761,81.45,91,100,4.38,JP,1715528234
236,ongjin,37.9347,125.3619,52.9,71,0,6.13,KP,1715528234
